sku,category_ids
QCNBB000703,"3,148"
QCNBB000704,"3,148"
QCNBB000705,"3,148"
QCNBB000706,"3,148"
QCNBB000707,"3,148"
QCNBB000708,"3,148"
QCNBB000709,"3,148"
QCNBB000710,"3,148"
QCNBB000711,"3,148"
QCNBB000712,"3,148"
QCNBB000713,"3,148"
QCNBB000714,"3,148"
QCNBB000715,"3,148"
QCNBB000717,"3,148"
QCNBB000718,"3,148"
QCNBB000719,"3,148"
QCNBB000722,"3,148"
QCNBB000723,"3,148"
QCNBB000724,"3,148"
QCNBB000725,"3,148"
QCNBB000726,"3,148"
QCNBB000727,"3,148"
QCNBB000728,"3,148"
QCNBB000729,"3,148"
QCNBB000730,"3,148"
QCNBB000731,"3,148"
QCNBB000732,"3,148"
QCNBB000734,"3,148"
QCNBB000736,"3,148"
QCNBB000737,"3,148"
QCNBB000738,"3,148"
QCNBB000739,"3,148"
QCNBB000740,"3,148"
QCNBB000742,"3,148"
QCNBB000743,"3,148"
QCNBB000744,"3,148"
QCNBB000745,"3,148"
QCNBB000747,"3,148"
QCNBB000748,"3,148"
QCNBB000749,"3,148"
QCNBB000750,"3,148"
QCNBB000751,"3,148"
QCNBB000752,"3,148"
QCNBB000753,"3,148"
QCNBB000754,"3,148"
QCNBB000755,"3,148"
QCNBB000757,"3,148"
QCNBB000758,"3,148"
QCNBB000760,"3,148"
QCNBB000761,"3,148"
QCNBB000762,"3,148"
QCNBB000763,"3,148"
QCNBB000764,"3,148"
QCNBB000383,"3,148"
QCNBB000645,"3,148"
QCNBB000716,"3,148"
QCNBB000720,"3,148"
QCNBB000721,"3,148"
QCNBB000733,"3,148"
QCNBB000735,"3,148"
QCNBB000741,"3,148"
QCNBB000746,"3,148"
QCNBB000756,"3,148"
QCNBB000759,"3,148"
QCNBB000877,"3,148"
QCNBB000816,"3,148"
QCNBB000779,"3,148"
QCNBB000802,"3,148"
QCNBB000804,"3,148"
QCNBB000822,"3,148"
QCNBB000796,"3,148"
QCNBB000795,"3,148"
QCNBB000817,"3,148"
QCNBB000775,"3,148"
QCNBB000815,"3,148"
QCNBB000771,"3,148"
QCNBB000787,"3,148"
QCNBB000785,"3,148"
QCNBB000788,"3,148"
QCNBB000798,"3,148"
QCNBB000780,"3,148"
QCNBB000797,"3,148"
QCNBB000777,"3,148"
QCNBB000806,"3,148"
QCNBB000792,"3,148"
QCNBB000826,"3,148"
QCNBB000656,"3,148"
QCNBB000669,"3,148"
QCNBB000784,"3,148"
QCNBB000824,"3,148"
QCNBB000823,"3,148"
QCNBB000818,"3,148"
QCNBB000808,"3,148"
QCNBB000821,"3,148"
QCNBB000768,"3,148"
QCNBB000776,"3,148"
QCNBB000813,"3,148"
QCNBB000793,"3,148"
QCNBB000812,"3,148"
QCNBB000781,"3,148"
QCNBB000772,"3,148"
QCNBB000783,"3,148"
QCNBB000814,"3,148"
QCNBB000791,"3,148"
QCNBB000810,"3,148"
QCNBB000809,"3,148"
QCNBB000774,"3,148"
QCNBB000790,"3,148"
QCNBB000807,"3,148"
QCNBB000811,"3,148"
QCNBB000825,"3,148"
QCNBB000658,"3,148"
QCNBB000660,"3,148"
QCNBB000676,"3,148"
QCNBB000769,"3,148"
QCNBB000778,"3,148"
QCNBB000799,"3,148"
QCNBB000801,"3,148"
QCNBB000789,"3,148"
QCNBB000786,"3,148"
QCNBB000800,"3,148"
QCNBB000782,"3,148"
QCNBB000770,"3,148"
QCNBB000803,"3,148"
QCNBB000820,"3,148"
QCNBB000819,"3,148"
QCNBB000767,"3,148"
QCNBB000794,"3,148"
QCNBB000668,"3,148"
QCNBB000677,"3,148"
QCNBB000692,"3,148"
QCNBB000667,"3,148"
QCNBB000827,"3,148"
QCNBB000828,"3,148"
QCNBB000829,"3,148"
QCNBB000830,"3,148"
QCNBB000831,"3,148"
QCNBB000832,"3,148"
QCNBB000833,"3,148"
QCNBB000834,"3,148"
QCNBB000835,"3,148"
QCNBB000836,"3,148"
QCNBB000837,"3,148"
QCNBB000838,"3,148"
QCNBB000878,"3,148"
QCNBB000879,"3,148"
QCNBB000880,"3,148"
QCNBB000882,"3,148"
QCNBB000883,"3,148"
QCNBB000884,"3,148"
QCNBB000885,"3,148"
QCNBB000886,"3,148"
QCNBB000887,"3,148"
QCNBB000889,"3,148"
QCNBB000891,"3,148"
QCNBB000892,"3,148"
QCNBB000893,"3,148"
QCNBB000894,"3,148"
QCNBB000895,"3,148"
