store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,mapped_status,price,cpu,laptop_battery,color,laptop_processor
admin,base,Laptops,simple,"3,11",SYGNBAS0370,2,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-15-au111tx(Core I5 7200 U 2.5GHz/8GB/500GB 15.6"")5CD631203B",1 Year  Warranty.,15-au111tx,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-15-au111tx(Core I5 7200 U 2.5GHz/8GB/500GB 15.6"")5CD631203B",simple,1 Year  Warranty.,No,No,0.00,I5,11.1V--41WH,Silver,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0371,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)4DBMGT1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)4DBMGT1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0372,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)1JXLGT1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)1JXLGT1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0373,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)6XH6XP1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)6XH6XP1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0374,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)6JFYWP1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)6JFYWP1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0375,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)8P9KGT1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)8P9KGT1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0376,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)7L0JGT1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)7L0JGT1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0377,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)3XSNGT1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)3XSNGT1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0378,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)6JXLGT1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)6JXLGT1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0379,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)GYSNGT1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)GYSNGT1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
admin,base,Laptops,simple,"3,11",SYGNBAS0380,2,"Catalog, Search",GST0.36,Dell,QCNBK-B,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)6XGYWP1,1 Year  Warranty.,E-6220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-E-6220(Core i5-2520M @ 2.50GHz/4GB/160GB)6XGYWP1,simple,1 Year  Warranty.,No,No,0.00,I5,11.1V 58Wh,Grey,Core i5
