store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,mapped_status,price,cpu,laptop_battery,color,laptop_processor
admin,base,Laptops,simple,"3,11",SYGNBQB0581,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB14100D8",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB14100D8",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0582,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB136775B",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB136775B",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0583,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB144BDMX",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB144BDMX",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0584,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-B,"Dell-Insp 3437(Core i5 4200U 1.60GHz/4GB/1TB 14"")FR915Z1",1 Year  Warranty.,Insp 3437,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Insp 3437(Core i5 4200U 1.60GHz/4GB/1TB 14"")FR915Z1",simple,1 Year  Warranty.,No,0.00,i5,14.8V--2700mAh,Red,Core i5
admin,base,Laptops,simple,"3,11",SYGNBQB0585,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-Pavilin Dv6(Corei3 2310M 2.10GHz/4GB/500GB 15.6"")5CH11713K7",1 Year  Warranty.,Pavilin Dv6,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Pavilin Dv6(Corei3 2310M 2.10GHz/4GB/500GB 15.6"")5CH11713K7",simple,1 Year  Warranty.,No,0.00,i3,10.8V--4400mAh,Brown,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0586,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-Pavillion DV4(Core I3 M350 2.27GHz/6GB/320GB 14.0"")INA0160NWX",1 Year  Warranty.,Pavillion DV4,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Pavillion DV4(Core I3 M350 2.27GHz/6GB/320GB 14.0"")INA0160NWX",simple,1 Year  Warranty.,No,0.00,I3,10.8V--55Wh,Black,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0587,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB13676VR",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB13676VR",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0588,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-B,"Lenovo-Thinkpad x220(Core i5 2540M2.60GHz/4GB/500GB 13.2"")R9-M7ZCC",1 Year  Warranty.,Thinkpad x220,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-Thinkpad x220(Core i5 2540M2.60GHz/4GB/500GB 13.2"")R9-M7ZCC",simple,1 Year  Warranty.,No,0.00,i5,11.1V--63WH,Black,Core i5
admin,base,Laptops,simple,"3,11",SYGNBQB0589,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB144BDL2",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB144BDL2",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
admin,base,Laptops,simple,"3,11",SYGNBQB0590,2,No,"Catalog, Search",GST0.36,HP,QCNBK-B,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB144BDNZ",1 Year  Warranty.,430,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-430(Core i3 M370 2.40GHz/2GB/500GB 14"")5CB144BDNZ",simple,1 Year  Warranty.,No,0.00,i3,10.8V--47Wh,Gold,Core i3
