sku,image,small_image,thumbnail,gallery,,
OPMBNTF0371,+/HTC-Desire-816G-Blue.jpg,+/HTC-Desire-816G-Blue.jpg,+/HTC-Desire-816G-Blue.jpg,/HTC-Desire-816G-Blue-right.jpg;/HTC-Desire-816G-Blue-left.jpg,,
OPMBNTF0375,+/Huawei-Ascend-G730-White.jpg,+/Huawei-Ascend-G730-White.jpg,+/Huawei-Ascend-G730-White.jpg,/Huawei-Ascend-G730-White-right.jpg;/Huawei-Ascend-G730-White-left.jpg,,
OPMBNTF0382,+/Infocus-415-Black.jpg,+/Infocus-415-Black.jpg,+/Infocus-415-Black.jpg,/Infocus-415-Black-right.jpg;/Infocus-415-Black-left.jpg,,
OPMBNTF0390,+/Intex-Aqua-Ring-Black.jpg,+/Intex-Aqua-Ring-Black.jpg,+/Intex-Aqua-Ring-Black.jpg,/Intex-Aqua-Ring-Black.jpg;/Intex-Aqua-Ring-Black-right.jpg,,
OPMBNTF0391,+/Intex-Aqua-R4+-Black.jpg,+/Intex-Aqua-R4+-Black.jpg,+/Intex-Aqua-R4+-Black.jpg,/Intex-Aqua-R4+-Black.jpg;/Intex-Aqua-R4+-Black-right.jpg,,
OPMBNTF0392,+/I-Smart-Is-102-Coffee-Black.jpg,+/I-Smart-Is-102-Coffee-Black.jpg,+/I-Smart-Is-102-Coffee-Black.jpg,/I-Smart-Is-102-Coffee-Black-right.jpg;/I-Smart-Is-102-Coffee-Black-left.jpg,,
OPMBNTF0393,+/itel-it5611-red.jpg,+/itel-it5611-red.jpg,+/itel-it5611-red.jpg,,,
OPMBNTF0394,+/itel-selfie-it2180-blue.jpg,+/itel-selfie-it2180-blue.jpg,+/itel-selfie-it2180-blue.jpg,/itel-selfie-it2180-blue-right.jpg;/itel-selfie-it2180-blue-left.jpg,,
OPMBNTF0425,+/Lava Iris X1 Grand-White.jpg,+/Lava Iris X1 Grand-White.jpg,+/Lava Iris X1 Grand-White.jpg,/Lava Iris X1 Grand-White-right.jpg;/Lava Iris X1 Grand-White-left.jpg,,
OPMBNTF0426,+/Lava-KKT-Prime-Black.jpg,+/Lava-KKT-Prime-Black.jpg,+/Lava-KKT-Prime-Black.jpg,/Lava-KKT-Prime-Black-right.jpg;/Lava-KKT-Prime-Black-left.jpg,,
OPMBNTF0475,+/Nokia-X2-Duos-White.jpg,+/Nokia-X2-Duos-White.jpg,+/Nokia-X2-Duos-White.jpg,/Nokia-X2-Duos-White.jpg;/Nokia-X2-Duos-White-right.jpg,,
OPMBNTF0494,+/Samsung-Galaxy-A8-A800I-Gold.jpg,+/Samsung-Galaxy-A8-A800I-Gold.jpg,+/Samsung-Galaxy-A8-A800I-Gold.jpg,/Samsung-Galaxy-A8-A800I-Gold-right.jpg;/Samsung-Galaxy-A8-A800I-Gold-left.jpg,,
OPMBNTF0520,+/Samsung-Tab-E--SM-T561-Metalic-Black.jpg,+/Samsung-Tab-E--SM-T561-Metalic-Black.jpg,+/Samsung-Tab-E--SM-T561-Metalic-Black.jpg,/Samsung-Tab-E--SM-T561-Metalic-Black-right.jpg;/Samsung-Tab-E--SM-T561-Metalic-Black-left.jpg,,
OPMBNTF0534,+/Vitel-K901-Black.jpg,+/Vitel-K901-Black.jpg,+/Vitel-K901-Black.jpg,/Vitel-K901-Black-right.jpg;/Vitel-K901-Black-left.jpg,,
OPMBNTF0543,+/Yunicorn-Yureka-Plus-Yu5510A-white.jpg,+/Yunicorn-Yureka-Plus-Yu5510A-white.jpg,+/Yunicorn-Yureka-Plus-Yu5510A-white.jpg,/Yunicorn-Yureka-Plus-Yu5510A-white-right.jpg;/Yunicorn-Yureka-Plus-Yu5510A-white-left.jpg,,
OPMBNTF0589,+/InFocus-M535-Gold.jpg,+/InFocus-M535-Gold.jpg,+/InFocus-M535-Gold.jpg,/InFocus-M535-Gold-right.jpg;/InFocus-M535-Gold-left.jpg,,
OPMBNTF0484,+/Reliance-ZTe-D286.jpg,+/Reliance-ZTe-D286.jpg,+/Reliance-ZTe-D286.jpg,,,
REFMOB0020,+/samsung-galaxy-on-nxt-gold.jpg,+/samsung-galaxy-on-nxt-gold.jpg,+/samsung-galaxy-on-nxt-gold.jpg,/samsung-galaxy-on-nxt-gold-right.jpg;/samsung-galaxy-on-nxt-gold-left.jpg,,
OPMBNTF0797,+/Samsung-Galaxy-On-Next-G610F-Gold.jpg,+/Samsung-Galaxy-On-Next-G610F-Gold.jpg,+/Samsung-Galaxy-On-Next-G610F-Gold.jpg,/Samsung-Galaxy-On-Next-G610F-Gold-right.jpg;/Samsung-Galaxy-On-Next-G610F-Gold-left.jpg,,
SYGNBQB0310,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,,,
SYGNBQB0311,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001761,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
SYGNBQB0312,+/HP.jpg,+/HP.jpg,+/HP.jpg,,,
QCNBB001762,+/Acer.jpg,+/Acer.jpg,+/Acer.jpg,,,
QCNBB001763,+/Acer.jpg,+/Acer.jpg,+/Acer.jpg,,,
QCNBB001764,+/Acer.jpg,+/Acer.jpg,+/Acer.jpg,,,
QCNBB001765,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
SYGNBQB0313,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
SYGNBQB0314,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,,,
SYGNBQB0315,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
SYGNBQB0316,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
SYGNBQB0317,+/HP.jpg,+/HP.jpg,+/HP.jpg,,,
SYGNBQB0318,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
SYGNBQB0319,+/HP.jpg,+/HP.jpg,+/HP.jpg,,,
QCNBB001800,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001801,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001802,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001766,+/Sony.jpg,+/Sony.jpg,+/Sony.jpg,,,
QCNBB001767,+/samsung.jpg,+/samsung.jpg,+/samsung.jpg,,,
QCNBB001768,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,,,
SYGNBQB0320,+/HP.jpg,+/HP.jpg,+/HP.jpg,,,
QCNBB001769,+/HP.jpg,+/HP.jpg,+/HP.jpg,,,
QCNBB001770,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,,,
QCNBB001803,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001804,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001805,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001771,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001772,+/Acer.jpg,+/Acer.jpg,+/Acer.jpg,,,
QCNBB001773,+/HP.jpg,+/HP.jpg,+/HP.jpg,,,
QCNBB001774,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001806,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001775,+/HP.jpg,+/HP.jpg,+/HP.jpg,,,
QCNBB001776,+/Lenovo.jpg,+/Lenovo.jpg,+/Lenovo.jpg,,,
QCNBB001807,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001777,+/Dell.jpg,+/Dell.jpg,+/Dell.jpg,,,
QCNBB001778,+/Apple-A1278.jpg,+/Apple-A1278.jpg,+/Apple-A1278.jpg,,,
QCNBB001779,+/Acer.jpg,+/Acer.jpg,+/Acer.jpg,,,
