"PRODUCT NAME",CATEGORY,QTY,PRICE
"DELL REFURBISHED INSPIRON 15 3542/ 4th Gen Ci3-4005U/ 4GB/ 1TB/ INT/ NO OS/ 15.6-Inch","Brand Refurbished Laptops",1,20800
"DELL REFURBISHED INSPIRON 15 3542/ 4th Gen Ci3-4005U/ 4GB/ 500GB/ 15.6-Inch","Brand Refurbished Laptops",10,22100
"DELL REFURBISHED INSPIRON 15 3542/ 4th Gen Ci3-4005U/ 4GB/ 500GB/ INT/ NO OS/ 15.6-Inch","Brand Refurbished Laptops",3,22100
"DELL REFURBISHED INSPIRON 15 3542/ 4th Gen Ci3-4005U/ 4GB/ 500GB/ INT/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",1,22700
"DELL REFURBISHED INSPIRON 15 3542/ PDC 3558U/ 4GB/ 500GB/ INT/ NO OS/ 15.6-Inch","Brand Refurbished Laptops",1,19200
"DELL REFURBISHED INSPIRON 15 3543 (5th Gen Ci5-5200U/ 4GB/ 500GB/ 2GB/ WIN 10/ 15.6-INCH )","Brand Refurbished Laptops",1,33600
"DELL REFURBISHED INSPIRON 15 3543( PDC 3805U/ 4GB/ 500GB/ INT/ WIN 10/ 15.6-INCH )","Brand Refurbished Laptops",6,21300
"DELL REFURBISHED INSPIRON 15 3543/ 5th Gen Ci5-5200U/ 4GB/ 1TB/ 2GB/ NO OS/ 15.6-Inch Touch","Brand Refurbished Laptops",1,31900
"DELL REFURBISHED INSPIRON 15 3543/ 5th Gen Ci5-5200U/ 4GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch Touch","Brand Refurbished Laptops",3,35500
"DELL REFURBISHED INSPIRON 15 3543/ 5th Gen Ci5-5200U/ 4GB/ 1TB/ 2GB/ WIN 8.1/ 15.6-Inch Touch","Brand Refurbished Laptops",2,31900
"DELL REFURBISHED INSPIRON 15 3543/ 5th Gen Ci5-5200U/ 4GB/ 1TB/ INT/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",2,28900
"DELL REFURBISHED INSPIRON 15 3543/ 5th Gen Ci5-5200U/ 8GB/ 1TB/ 2GB/ NO OS/ 15.6-Inch","Brand Refurbished Laptops",1,34500
"DELL REFURBISHED INSPIRON 15 3543/ 5th Gen Ci7-5500U/ 8GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",1,39700
"DELL REFURBISHED INSPIRON 15 3551/ PQC N3540/ 4GB/ 500GB/ INT/ NO OS/ 15.6-Inch","Brand Refurbished Laptops",2,19200
"DELL REFURBISHED INSPIRON 15 3552/ PQC N3710/ 4GB/ 500GB/ INT/ NO OS/ 15.6-INCH","Brand Refurbished Laptops",3,19900
"DELL REFURBISHED INSPIRON 15 3558/ 4th Gen Ci3-4005U/ 4GB/ 500GB/ INT/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",1,21100
"DELL REFURBISHED INSPIRON 15 3558/ 5th Gen Ci5-5200U/ 4GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",2,29500
"DELL REFURBISHED INSPIRON 15 5547/ 4th Gen Ci5-4210U/ 4GB/ 500GB/ 2GB/ WIN 10/ 15.6-Inch Touch","Brand Refurbished Laptops",1,35800
"DELL REFURBISHED INSPIRON 15 5555/ AMD A10-8700P/ 8GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",1,36800
"DELL REFURBISHED INSPIRON 15 5555/ AMD A10-8700P/ 8GB/ 1TB/ INT/ NO OS/ 15.6-Inch","Brand Refurbished Laptops",1,32400
"DELL REFURBISHED INSPIRON 15 5555/ AMD A10-8700P/ 8GB/ 1TB/ INT/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",3,34300
"DELL REFURBISHED INSPIRON 15 5558/ 4th Gen Ci3-4005U/ 4GB/ 500GB/ 2GB/ WIN 10/ 15.6-INCH ","Brand Refurbished Laptops",2,22500
"DELL REFURBISHED INSPIRON 15 5558/ 5th Gen Ci3-5005U/ 4GB/ 500GB/ INT/ NO OS/ 15.6-Inch","Brand Refurbished Laptops",1,23000
"DELL REFURBISHED INSPIRON 15 5558/ 5th Gen Ci3-5005U/ 4GB/ 500GB/ INT/ WIN 10/ 15.6-Inch","Brand Refurbished Laptops",2,22500
