sku,description,short_description,imp_desc
OPMBNTF0700,"<ul><li>6.2 inch Quad HD+ Display</li>
<li>12MP Rear Camera | 8MP Front Camera</li>
<li>3500 mAh Battery</li>
<li>Exynos 8895 Octa Core 2.3GHz Processor</li></ul>
","<ul><li>6.2 inch Quad HD+ Display</li>
<li>12MP Rear Camera | 8MP Front Camera</li>
<li>3500 mAh Battery</li>
<li>Exynos 8895 Octa Core 2.3GHz Processor</li></ul>
","<ul><li>6.2 inch Quad HD+ Display</li>
<li>12MP Rear Camera | 8MP Front Camera</li>
<li>3500 mAh Battery</li>
<li>Exynos 8895 Octa Core 2.3GHz Processor</li></ul>
"
OPMBNTF0704,"<ul><li>6.2 inch Quad HD+ Display</li>
<li>12MP Rear Camera | 8MP Front Camera</li>
<li>3500 mAh Battery</li>
<li>Exynos 8895 Octa Core 2.3GHz Processor</li></ul>
","<ul><li>6.2 inch Quad HD+ Display</li>
<li>12MP Rear Camera | 8MP Front Camera</li>
<li>3500 mAh Battery</li>
<li>Exynos 8895 Octa Core 2.3GHz Processor</li></ul>
","<ul><li>6.2 inch Quad HD+ Display</li>
<li>12MP Rear Camera | 8MP Front Camera</li>
<li>3500 mAh Battery</li>
<li>Exynos 8895 Octa Core 2.3GHz Processor</li></ul>
"
QCMBA000003,"<ul><li>Display -4.70 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-750x1334pixels</li>
<li>OS -iOS 8.0</li>
<li>Rear Camera - 8 megapixel</li></ul>
<li>Battery  - 1810mAh </li></ul>
","<ul><li>Display -4.70 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-750x1334pixels</li>
<li>OS -iOS 8.0</li>
<li>Rear Camera - 8 megapixel</li></ul>
<li>Battery  - 1810mAh </li></ul>
","<ul><li>Display -4.70 inch</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-750x1334pixels</li>
<li>OS -iOS 8.0</li>
<li>Rear Camera - 8 megapixel</li></ul>
<li>Battery  - 1810mAh </li></ul>
"
QCMBA000058,"<ul><li>4 inch WVGA Display</li>
<li>2MP Rear Camera</li>
<li>1500 mAh Li-Ion Battery</li>
<li>Cortex-A5 Processor</li></ul>","<ul><li>4 inch WVGA Display</li>
<li>2MP Rear Camera</li>
<li>1500 mAh Li-Ion Battery</li>
<li>Cortex-A5 Processor</li></ul>","<ul><li>4 inch WVGA Display</li>
<li>2MP Rear Camera</li>
<li>1500 mAh Li-Ion Battery</li>
<li>Cortex-A5 Processor</li></ul>"
QCMBB000151,"<ul><li>Display - 4.30 inches</li>
<li>Front Camera -1.9 MP</li>
<li>Rear Camera - 8 MP</li>
<li>Resolution - 540x960 pixels</li>
<li>OS - Android 4.4.2</li>
<li>Processor - 1.7 GHz dual-core</li></ul>
","<ul><li>Display - 4.30 inches</li>
<li>Front Camera -1.9 MP</li>
<li>Rear Camera - 8 MP</li>
<li>Resolution - 540x960 pixels</li>
<li>OS - Android 4.4.2</li>
<li>Processor - 1.7 GHz dual-core</li></ul>
","<ul><li>Display - 4.30 inches</li>
<li>Front Camera -1.9 MP</li>
<li>Rear Camera - 8 MP</li>
<li>Resolution - 540x960 pixels</li>
<li>OS - Android 4.4.2</li>
<li>Processor - 1.7 GHz dual-core</li></ul>
"
QCMBB000181,"<ul><li>Display - 4.0 inch</li>
<li>Resolution - 540 x 960 pixels</li>
<li>Rear Camera - 8 megapixel</li>
<li>Battery  - Li-Ion 1305 mAh </li></ul>
","<ul><li>Display - 4.0 inch</li>
<li>Resolution - 540 x 960 pixels</li>
<li>Rear Camera - 8 megapixel</li>
<li>Battery  - Li-Ion 1305 mAh </li></ul>
","<ul><li>Display - 4.0 inch</li>
<li>Resolution - 540 x 960 pixels</li>
<li>Rear Camera - 8 megapixel</li>
<li>Battery  - Li-Ion 1305 mAh </li></ul>
"
QCMBB000205,"<ul><li>13MP primary camera and 5MP front facing camera</li>
<li>5.5-inch Display</li>
 <li>1280 x 780 pixels resolution</li>
<li>Android OS, v4.4.4 (KitKat)- OS</li>
<li>1.5GHz 64-bit octa core processor </li>
<li>2500mAH Li-polymer battery</li></ul>
","<ul><li>13MP primary camera and 5MP front facing camera</li>
<li>5.5-inch Display</li>
 <li>1280 x 780 pixels resolution</li>
<li>Android OS, v4.4.4 (KitKat)- OS</li>
<li>1.5GHz 64-bit octa core processor </li>
<li>2500mAH Li-polymer battery</li></ul>
","<ul><li>13MP primary camera and 5MP front facing camera</li>
<li>5.5-inch Display</li>
 <li>1280 x 780 pixels resolution</li>
<li>Android OS, v4.4.4 (KitKat)- OS</li>
<li>1.5GHz 64-bit octa core processor </li>
<li>2500mAH Li-polymer battery</li></ul>
"
NEWMOB00395,"<ul><li>5.8 inch Super Retina HD Display</li>
<li>12MP + 12MP Dual Rear Camera </li>
<li>7MP Front Camera</li>
<li>lithium-ion Battery</li>
<li>A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor</li></ul>","<ul><li>5.8 inch Super Retina HD Display</li>
<li>12MP + 12MP Dual Rear Camera </li>
<li>7MP Front Camera</li>
<li>lithium-ion Battery</li>
<li>A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor</li></ul>","<ul><li>5.8 inch Super Retina HD Display</li>
<li>12MP + 12MP Dual Rear Camera </li>
<li>7MP Front Camera</li>
<li>lithium-ion Battery</li>
<li>A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor</li></ul>"
NEWMOB00396,"<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 12 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 12 megapixel</li></ul>
","<ul><li>Display - 5.50 inch</li>
<li>Processor - quad-core</li>
<li>Front Camera -7 Megapixel</li>
<li>Resolution-1080x1920 pixels</li>
<li>OS - iOS 10</li>
<li>Rear Camera - 12 megapixel</li></ul>
"
NEWTAB00029,"<ul><li>8 MP camera</li>
<li>IPS LED Retina display</li>
<li>10 hour battery life</li>
<li>Slim and portable</li></ul>
","<ul><li>8 MP camera</li>
<li>IPS LED Retina display</li>
<li>10 hour battery life</li>
<li>Slim and portable</li></ul>
","<ul><li>8 MP camera</li>
<li>IPS LED Retina display</li>
<li>10 hour battery life</li>
<li>Slim and portable</li></ul>
"
