sku,new_launch
NEWMOB00047,0
NEWMOB00036,0
NEWMOB00048,0
NEWMOB00026,0
NEWMOB00027,0
NEWMOB00028,0
NEWMOB00029,0
NEWMOB00031,0
NEWMOB00030,0
NEWMOB00181,0
NEWMOB00182,0
NEWMOB00192,0
NEWMOB00062,0
QCNBB000001,0
QCNBB000002,0
QCNBB000003,0
QCNBB000004,0
QCNBB000005,0
QCNBB000006,0
QCNBB000007,0
QCNBB000008,0
QCNBB000009,0
QCNBB000010,0
QCNBB000011,0
QCNBB000012,0
QCNBB000013,0
QCNBB000014,0
QCNBB000015,0
QCNBB000016,0
QCNBB000017,0
QCNBB000018,0
QCNBB000019,0
QCNBB000020,0
QCNBB000021,0
QCNBB000022,0
QCNBB000023,0
QCNBB000024,0
QCNBB000025,0
QCNBB000026,0
QCNBB000027,0
QCNBB000028,0
QCNBB000029,0
QCNBB000030,0
QCNBB000031,0
QCNBB000032,0
QCNBB000033,0
QCNBB000034,0
QCNBB000035,0
QCNBB000036,0
QCNBB000037,0
QCNBB000038,0
QCNBB000039,0
QCNBB000040,0
QCNBB000041,0
QCNBB000042,0
QCNBB000043,0
QCNBB000044,0
QCNBB000045,0
QCNBB000046,0
QCNBB000047,0
QCNBB000048,0
QCNBB000050,0
QCNBB000051,0
QCNBB000052,0
QCNBB000053,0
QCNBB000054,0
QCNBB000055,0
QCNBB000056,0
QCNBB000057,0
QCNBB000058,0
QCNBB000059,0
QCNBB000060,0
QCNBB000061,0
QCNBB000062,0
QCNBB000063,0
QCNBB000064,0
QCNBB000065,0
QCNBB000066,0
QCNBB000067,0
QCNBB000068,0
QCNBB000069,0
QCNBB000070,0
QCNBB000071,0
QCNBB000072,0
QCNBB000073,0
QCNBB000074,0
QCNBB000075,0
QCNBB000076,0
QCNBB000077,0
QCNBB000078,0
QCNBB000079,0
QCNBB000080,0
QCNBB000081,0
QCNBB000082,0
QCNBB000083,0
QCNBB000084,0
QCNBB000085,0
QCNBB000086,0
QCNBB000087,0
QCNBB000088,0
QCNBB000089,0
QCNBB000090,0
QCNBB000091,0
QCNBB000092,0
QCNBB000093,0
QCNBB000094,0
QCNBB000095,0
QCNBB000096,0
QCNBB000097,0
QCNBB000098,0
QCNBB000099,0
QCNBB000100,0
QCNBB000101,0
QCNBB000102,0
QCNBB000103,0
QCNBB000104,0
QCNBB000105,0
QCNBB000106,0
QCNBB000107,0
QCNBB000108,0
QCNBB000109,0
QCNBB000110,0
QCNBB000111,0
QCNBB000112,0
QCNBB000114,0
QCNBB000115,0
QCNBB000116,0
QCNBB000117,0
QCNBB000118,0
QCNBB000119,0
QCNBB000120,0
QCNBB000121,0
QCNBB000122,0
QCNBB000123,0
QCNBB000124,0
QCNBB000125,0
QCNBB000126,0
QCNBB000127,0
QCNBB000128,0
QCNBB000129,0
QCNBB000130,0
QCNBB000131,0
QCNBB000132,0
QCNBB000133,0
QCNBB000134,0
QCNBB000135,0
QCNBB000136,0
QCNBB000137,0
QCNBB000138,0
QCNBB000139,0
QCNBB000140,0
QCNBB000141,0
QCNBB000142,0
QCNBB000143,0
QCNBB000144,0
QCNBB000145,0
QCNBB000146,0
QCNBB000147,0
QCNBB000148,0
QCNBB000149,0
QCNBB000152,0
QCNBB000153,0
QCNBB000154,0
QCNBB000155,0
QCNBB000156,0
QCNBB000157,0
QCNBB000158,0
QCNBB000159,0
QCNBB000160,0
QCNBB000163,0
QCNBB000164,0
QCNBB000165,0
QCNBB000166,0
QCNBB000167,0
QCNBB000168,0
QCNBB000169,0
QCNBB000170,0
QCNBB000171,0
QCNBB000172,0
QCNBB000173,0
QCNBB000174,0
QCNBB000175,0
QCNBB000176,0
QCNBB000177,0
QCNBB000178,0
QCNBB000179,0
QCNBB000181,0
QCNBB000182,0
QCNBB000183,0
QCNBB000184,0
QCNBB000185,0
QCNBB000186,0
QCNBB000187,0
QCNBB000188,0
QCNBB000189,0
QCNBB000191,0
QCNBB000192,0
QCNBB000193,0
QCNBB000194,0
QCNBB000195,0
QCNBB000196,0
QCNBB000197,0
QCNBB000198,0
QCNBB000199,0
QCNBB000200,0
QCNBB000201,0
QCNBB000202,0
QCNBB000204,0
QCNBB000205,0
QCNBB000206,0
QCNBB000207,0
QCNBB000208,0
QCNBB000209,0
QCNBB000210,0
QCNBB000211,0
QCNBB000212,0
QCNBB000214,0
QCNBB000215,0
QCNBB000216,0
QCNBB000217,0
QCNBB000218,0
QCNBB000219,0
QCNBB000220,0
QCNBB000221,0
QCNBB000222,0
QCNBB000223,0
QCNBB000224,0
QCNBB000225,0
QCNBB000226,0
QCNBB000227,0
QCNBB000228,0
QCNBB000229,0
QCNBB000230,0
QCNBB000231,0
QCNBB000232,0
QCNBB000233,0
