sku,image,small_image,thumbnail,media_gallery
NEWNBK00001,+/HP-Spectre-13-V039TU.jpg,+/HP-Spectre-13-V039TU.jpg,+/HP-Spectre-13-V039TU.jpg,/HP-Spectre-13-V039TU.jpg;/HP-Spectre-13-V039TU-left.jpg;/HP-Spectre-13-V039TU-right.jpg
NEWNBK00032,+/HP-Spectre-13-V122TU.jpg,+/HP-Spectre-13-V122TU.jpg,+/HP-Spectre-13-V122TU.jpg,/HP-Spectre-13-V122TU.jpg;/HP-Spectre-13-V122TU-left.jpg;/HP-Spectre-13-V122TU-right.jpg
OPNBNTF0064,+/HP-Spectre-13-V123TU.jpg,+/HP-Spectre-13-V123TU.jpg,+/HP-Spectre-13-V123TU.jpg,/HP-Spectre-13-V123TU.jpg;/HP-Spectre-13-V123TU-left.jpg;/HP-Spectre-13-V123TU-right.jpg
OPNBNTF0090,+/HP-Stream-11-D023TU-Laptop.jpg,+/HP-Stream-11-D023TU-Laptop.jpg,+/HP-Stream-11-D023TU-Laptop.jpg,/HP-Stream-11-D023TU-Laptop.jpg;/HP-Stream-11-D023TU-Laptop-left.jpg;/HP-Stream-11-D023TU-Laptop-right.jpg
QCNBB000029,+/Hp-CQ62.jpg,+/Hp-CQ62.jpg,+/Hp-CQ62.jpg,/Hp-CQ62.jpg;/Hp-CQ62-left.jpg;/Hp-CQ62-right.jpg
QCNBB000003,+/Hp-Pavillion-DV6.jpg,+/Hp-Pavillion-DV6.jpg,+/Hp-Pavillion-DV6.jpg,/Hp-Pavillion-DV6.jpg;/Hp-Pavillion-DV6-left.jpg;/Hp-Pavillion-DV6-right.jpg
QCNBB000038,+/Hp-Pavillion-DV6.jpg,+/Hp-Pavillion-DV6.jpg,+/Hp-Pavillion-DV6.jpg,/Hp-Pavillion-DV6.jpg;/Hp-Pavillion-DV6-left.jpg;/Hp-Pavillion-DV6-right.jpg
QCNBB000064,+/Hp-Pavillion-DV6.jpg,+/Hp-Pavillion-DV6.jpg,+/Hp-Pavillion-DV6.jpg,/Hp-Pavillion-DV6.jpg;/Hp-Pavillion-DV6-left.jpg;/Hp-Pavillion-DV6-right.jpg
OPMBNTF0034,+/HTC-Desire-10-Lifestyle-Polor-White.jpg,+/HTC-Desire-10-Lifestyle-Polor-White.jpg,+/HTC-Desire-10-Lifestyle-Polor-White.jpg,/HTC-Desire-10-Lifestyle-Polor-White.jpg;/HTC-Desire-10-Lifestyle-Polor-White-left.jpg;/HTC-Desire-10-Lifestyle-Polor-White-right.jpg
OPMBNTF0051,+/HTC-Desire-10-Lifestyle-Stone-Black.jpg,+/HTC-Desire-10-Lifestyle-Stone-Black.jpg,+/HTC-Desire-10-Lifestyle-Stone-Black.jpg,/HTC-Desire-10-Lifestyle-Stone-Black.jpg;/HTC-Desire-10-Lifestyle-Stone-Black-left.jpg;/HTC-Desire-10-Lifestyle-Stone-Black-right.jpg
NEWMOB00125,+/HTC-Desire-526G-Plus-Glacier-Blue.jpg,+/HTC-Desire-526G-Plus-Glacier-Blue.jpg,+/HTC-Desire-526G-Plus-Glacier-Blue.jpg,/HTC-Desire-526G-Plus-Glacier-Blue.jpg;/HTC-Desire-526G-Plus-Glacier-Blue-left.jpg;/HTC-Desire-526G-Plus-Glacier-Blue-right.jpg
NEWMOB00127,+/HTC-Desire-526G-Plus-Glossy-Black.jpg,+/HTC-Desire-526G-Plus-Glossy-Black.jpg,+/HTC-Desire-526G-Plus-Glossy-Black.jpg,/HTC-Desire-526G-Plus-Glossy-Black.jpg;/HTC-Desire-526G-Plus-Glossy-Black-left.jpg;/HTC-Desire-526G-Plus-Glossy-Black-right.jpg
NEWMOB00128,+/HTC-Desire-616-Dual-Sim-PEARL-WHITE.jpg,+/HTC-Desire-616-Dual-Sim-PEARL-WHITE.jpg,+/HTC-Desire-616-Dual-Sim-PEARL-WHITE.jpg,/HTC-Desire-616-Dual-Sim-PEARL-WHITE.jpg;/HTC-Desire-616-Dual-Sim-PEARL-WHITE-left.jpg;/HTC-Desire-616-Dual-Sim-PEARL-WHITE-right.jpg
NEWMOB00131,+/HTC-Desire-626-Blue-Lagon.jpg,+/HTC-Desire-626-Blue-Lagon.jpg,+/HTC-Desire-626-Blue-Lagon.jpg,/HTC-Desire-626-Blue-Lagon.jpg;/HTC-Desire-626-Blue-Lagon-left.jpg;/HTC-Desire-626-Blue-Lagon-right.jpg
NEWMOB00132,+/HTC-Desire-626-White.jpg,+/HTC-Desire-626-White.jpg,+/HTC-Desire-626-White.jpg,/HTC-Desire-626-White.jpg;/HTC-Desire-626-White-left.jpg;/HTC-Desire-626-White-right.jpg
NEWMOB00136,+/HTC-Desire-820s-Dual-Milkyway-Grey.jpg,+/HTC-Desire-820s-Dual-Milkyway-Grey.jpg,+/HTC-Desire-820s-Dual-Milkyway-Grey.jpg,/HTC-Desire-820s-Dual-Milkyway-Grey.jpg;/HTC-Desire-820s-Dual-Milkyway-Grey-left.jpg;/HTC-Desire-820s-Dual-Milkyway-Grey-right.jpg
NEWMOB00137,+/HTC-One-Me-Meteor-Grey.jpg,+/HTC-One-Me-Meteor-Grey.jpg,+/HTC-One-Me-Meteor-Grey.jpg,/HTC-One-Me-Meteor-Grey.jpg;/HTC-One-Me-Meteor-Grey-left.jpg;/HTC-One-Me-Meteor-Grey-right.jpg
NEWMOB00138,+/Huawei-ASCEND-G730--BLACK.jpg,+/Huawei-ASCEND-G730--BLACK.jpg,+/Huawei-ASCEND-G730--BLACK.jpg,/Huawei-ASCEND-G730--BLACK.jpg;/Huawei-ASCEND-G730--BLACK-left.jpg;/Huawei-ASCEND-G730--BLACK-right.jpg
NEWMOB00143,+/iBall-Andi-4.5C-Magnifico-1GB-RAM-Special-Wine.jpg,+/iBall-Andi-4.5C-Magnifico-1GB-RAM-Special-Wine.jpg,+/iBall-Andi-4.5C-Magnifico-1GB-RAM-Special-Wine.jpg,/iBall-Andi-4.5C-Magnifico-1GB-RAM-Special-Wine.jpg;/iBall-Andi-4.5C-Magnifico-1GB-RAM-Special-Wine-left.jpg;/iBall-Andi-4.5C-Magnifico-1GB-RAM-Special-Wine-right.jpg
NEWMOB00149,+/Infocus-M535-Gold.jpg,+/Infocus-M535-Gold.jpg,+/Infocus-M535-Gold.jpg,/Infocus-M535-Gold.jpg;/Infocus-M535-Gold-left.jpg;/Infocus-M535-Gold-right.jpg
NEWMOB00151,+/Infocus-M812i-Silver.jpg,+/Infocus-M812i-Silver.jpg,+/Infocus-M812i-Silver.jpg,/Infocus-M812i-Silver.jpg;/Infocus-M812i-Silver-left.jpg;/Infocus-M812i-Silver-right.jpg
Laptop Core i3 8GB,+/Core-i3.jpg,+/Core-i3.jpg,+/Core-i3.jpg,/Core-i3.jpg;/Core-i3-left.jpg;/Core-i3-right.jpg
NEWMOB00174,+/Lava-Iris-X1-Black.jpg,+/Lava-Iris-X1-Black.jpg,+/Lava-Iris-X1-Black.jpg,/Lava-Iris-X1-Black.jpg;/Lava-Iris-X1-Black-left.jpg;/Lava-Iris-X1-Black-right.jpg
